restaurant_key,business_name,aka_name,license_number,street_address,city,state,zip
8589951861,ED CAMPBELL CONCESSION- COTTON BOWL STAND #42-3575,,,3750 COTTON BOWL PLAZA,DALLAS,TX,75210
8589951862,FUJISAN SUSHI,,,1935 MEDICAL DISTRICT DR,DALLAS,TX,75235
8589951863,8 CLOVES,,,920 S HARWOOD ST #180,DALLAS,TX,75201
8589951864,TEA LATTE BAR,,,7517 CAMPBELL RD #608,DALLAS,TX,75248
8589951865,DALEY,DALEY,25951.0,5024 S Wolcott (1900W),CHICAGO,IL,60609
8589951866,GIORDANO'S ON JACKSON,GIORDANO'S ON JACKSON,2417836.0,223-225 W JACKSON BLVD,CHICAGO,IL,60606
8589951867,"FINGA LICKING CHICAGO, LLC",LICKING,2548699.0,5045 W MADISON ST,CHICAGO,IL,60644
8589951868,SUFFRON,SUFFRON,2890569.0,2459 W ARMITAGE AVE,CHICAGO,IL,60647
8589951869,MOODZ FOOD & DELI,MOODZ FOOD & DELI,2992998.0,233 W 119TH ST,CHICAGO,IL,60628
8589951870,MONK'S PUB,MONK'S PUB,1077.0,205-207 W LAKE ST,CHICAGO,IL,60606
8589951871,ROCKY'S TACOS,ROCKY'S TACOS,64463.0,7043 N CLARK ST,CHICAGO,IL,60626
8589951872,"L&L ACADEMY AND PRESCHOOL WL, LLC","L&L ACADEMY AND PRESCHOOL WL, LLC",2762811.0,14 N LOOMIS FL 1ST,CHICAGO,IL,60607
8589951873,LASHON'S ANGELIC LEARNING CENTER LLC,LASHON'S ANGELIC LEARNING CENTER LLC,2569780.0,4909 W DIVISION ST,CHICAGO,IL,60651
8589951874,BIG BOSS SPICY FRIED CHICKEN,BIG BOSS SPICY FRIED CHICKEN,2807954.0,2520 S HALSTED ST,CHICAGO,IL,60608
8589951875,TAQUERIA EL JARDIN,TAQUERIA EL JARDIN,2263249.0,1303 W HURON ST,CHICAGO,IL,60642
8589951876,TONY'S ITALIAN DELI,TONY'S ITALIAN DELI,429.0,6708 N NORTHWEST HWY,CHICAGO,IL,60631
8589951877,CHICK-FIL-A,CHICK-FIL-A,2704188.0,225 S CANAL ST,CHICAGO,IL,60606
8589951878,ALKHATIB FOOD MART,ALKHATIB FOOD MART,2906851.0,4851 W CHICAGO AVE,CHICAGO,IL,60651
8589951879,PANCHO'S ICE CREAM,PANCHO'S ICE CREAM,2256339.0,4055 W 31ST ST,CHICAGO,IL,60623
8589951880,SOUTHPORT GROCERY AND CAFE,SOUTHPORT GROCERY AND CAFE,2923943.0,3552 N SOUTHPORT AVE,CHICAGO,IL,60657
8589951881,ZIA'S SOCIAL,ZIA'S SOCIAL,2124659.0,6158 N NORTHWEST HWY,CHICAGO,IL,60631
8589951882,LIQUOR MAX,WORLD-WIDE LIQUORS,2891333.0,3500 N HARLEM AVE,CHICAGO,IL,60634
8589951883,SAGE DINING SERVICES,BERNARD ZELL ANSHE EMET DAY SCHOOL,2442839.0,3751 N BROADWAY,CHICAGO,IL,60613
8589951884,TRIPLE CROWN RESTAURANT,TRIPLE CROWN RESTAURANT,1959149.0,2217 S WENTWORTH AVE,CHICAGO,IL,60616
8589951885,THE OLD PLANK / MR. E'S LATE NIGHT,THE OLD PLANK / MR. E'S LATE NIGHT,2738314.0,2700-2704 N MILWAUKEE AVE,CHICAGO,IL,60647
8589951886,TRAVEL TRADERS #501,TRAVEL TRADERS #501,1892814.0,505 N MICHIGAN AVE,CHICAGO,IL,60611
8589951887,MARISCOS Y TAQUERIA,MARISCOS Y TAQUERIA,2803449.0,3721 W FULLERTON AVE,CHICAGO,IL,60647
8589951888,"7 SEAS SUPERMARKET,INC.",7 SEAS SUPERMARKET,2713598.0,1015 W 87TH ST,CHICAGO,IL,60620
8589951889,CAFE MARIE-JEANNE,CAFE MARIE-JEANNE,2428838.0,1001 N CALIFORNIA AVE,CHICAGO,IL,60622
8589951890,BURGER KING #14476,BURGER KING,2368808.0,6950 S PULASKI RD,CHICAGO,IL,60629
8589951891,"LAS TRES COSTENITAS RESTAURANT, INC.","LAS TRES COSTENITAS RESTAURANT, INC.",2529138.0,4147 S KEDZIE AVE,CHICAGO,IL,60632
8589951892,STARBUCKS COFFEE #212,STARBUCKS COFFEE #212,23027.0,105 W ADAMS ST,CHICAGO,IL,60603
8589951893,NEW YORK DOLLAR & FOOD,NEW YORK DOLLAR & FOOD,2776410.0,122 E 35TH ST,CHICAGO,IL,60616
8589951894,THE RED LION LINCOLN SQUARE,THE RED LION LINCOLN SQUARE,2065298.0,4749-4753 N ROCKWELL ST,CHICAGO,IL,60625
8589951895,"CHILDREN'S LAND ON BELMONT AVE,  INC.","CHILDREN'S LAND ON BELMONT AVE,  INC.",2488004.0,6818 W BELMONT AVE,CHICAGO,IL,60634
8589951896,CHIPOTLE,CHIPOTLE,2179700.0,3312 N WESTERN AVE,CHICAGO,IL,60618
8589951897,SMOOTHIE KING,,,6057 SKILLMAN ST,DALLAS,TX,75231
8589951898,GATORS,,,1714 N MARKET ST,DALLAS,TX,75202
8589951899,LORENZO HOTEL POOL BAR,,,1011 S AKARD ST,DALLAS,TX,75215
8589951900,SONESTA SUITES DALLAS PARK CENTRAL CAFE,,,7800 ALPHA RD,DALLAS,TX,75240
8589951901,CRUZ TACOS,,,2682 MYRTLE SPRING AVE #115,DALLAS,TX,75220
8589951902,RYE,,,1920 GREENVILLE AVE,DALLAS,TX,75206
8589951903,FAMILY DOLLAR,,,2426 W LEDBETTER DR,DALLAS,TX,75237
8589951904,THE LUNCH ROOM,,,305 E SANER AVE #A,DALLAS,TX,75216
